Manuscript N°	Page N°	Type	Description	General description	IIIF 
	250r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0251/full/full/0/default.jpg
	252r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0253/full/full/0/default.jpg
	254v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0256/full/full/0/default.jpg
	256r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0257/full/full/0/default.jpg
	258r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0259/full/full/0/default.jpg
	266r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0267/full/full/0/default.jpg
	270v	marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0272/full/full/0/default.jpg
			bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0272/full/full/0/default.jpg
	276r	marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0277/full/full/0/default.jpg
			bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0277/full/full/0/default.jpg
	277r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0278/full/full/0/default.jpg
	282v	marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0284/full/full/0/default.jpg
			bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0284/full/full/0/default.jpg
	284r	marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0285/full/full/0/default.jpg
			bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0285/full/full/0/default.jpg
	286r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0287/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0287/full/full/0/default.jpg
	289r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0290/full/full/0/default.jpg
	291v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0293/full/full/0/default.jpg
	293v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0295/full/full/0/default.jpg
	296r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0297/full/full/0/default.jpg
	299r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0300/full/full/0/default.jpg
	301r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0302/full/full/0/default.jpg
	304r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0305/full/full/0/default.jpg
	307r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0308/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0308/full/full/0/default.jpg
	308v	marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0310/full/full/0/default.jpg
			bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0310/full/full/0/default.jpg
	310r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0311/full/full/0/default.jpg
	311v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0313/full/full/0/default.jpg
	314v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0316/full/full/0/default.jpg
	317v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0319/full/full/0/default.jpg
	319v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0321/full/full/0/default.jpg
	325r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0326/full/full/0/default.jpg
	332r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0333/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0333/full/full/0/default.jpg
	334v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0336/full/full/0/default.jpg
	337r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0338/full/full/0/default.jpg
	339v	marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0341/full/full/0/default.jpg
			bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0341/full/full/0/default.jpg
	342v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0344/full/full/0/default.jpg
	344v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0346/full/full/0/default.jpg
	347r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0348/full/full/0/default.jpg
	349v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0050/DEPOT/MAF_MS0050_0351/full/full/0/default.jpg
MAF Ms. 051	001r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0007/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0007/full/full/0/default.jpg
			bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0007/full/full/0/default.jpg
			cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0007/full/full/0/default.jpg
	004r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0010/full/full/0/default.jpg
	004v	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0011/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0011/full/full/0/default.jpg
	005v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0012/full/full/0/default.jpg
	006v	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0013/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0013/full/full/0/default.jpg
	007r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0013/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0013/full/full/0/default.jpg
	008r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0014/full/full/0/default.jpg
	008v	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0015/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0015/full/full/0/default.jpg
	010r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0016/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0016/full/full/0/default.jpg
	011v	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0018/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0018/full/full/0/default.jpg
	013r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0019/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0019/full/full/0/default.jpg
	015r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0021/full/full/0/default.jpg
	016v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0023/full/full/0/default.jpg
	018v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0025/full/full/0/default.jpg
	020v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0027/full/full/0/default.jpg
	021r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0027/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0027/full/full/0/default.jpg
	024r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0030/full/full/0/default.jpg
	028r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0034/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0034/full/full/0/default.jpg
	030v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0037/full/full/0/default.jpg
	032v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0039/full/full/0/default.jpg
	034v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0041/full/full/0/default.jpg
	036v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0043/full/full/0/default.jpg
	038v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0045/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0045/full/full/0/default.jpg
	040v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0047/full/full/0/default.jpg
	043r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0049/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0049/full/full/0/default.jpg
	049r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0055/full/full/0/default.jpg
	051v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0058/full/full/0/default.jpg
	054v	marginal miniature	church	building	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0061/full/full/0/default.jpg
			cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0061/full/full/0/default.jpg
			pillars	object	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0061/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0061/full/full/0/default.jpg
	057r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0063/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0063/full/full/0/default.jpg
	059v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0066/full/full/0/default.jpg
	062r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0068/full/full/0/default.jpg
	064r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0070/full/full/0/default.jpg
	066r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0072/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0072/full/full/0/default.jpg
	066v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0073/full/full/0/default.jpg
	069v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0076/full/full/0/default.jpg
	070r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0076/full/full/0/default.jpg
	073r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0079/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0079/full/full/0/default.jpg
	077v	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0084/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0084/full/full/0/default.jpg
	109r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0115/full/full/0/default.jpg
	111r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0117/full/full/0/default.jpg
	114r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0120/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0120/full/full/0/default.jpg
	116v	headpiece	bird	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0123/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0123/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0123/full/full/0/default.jpg
			cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0123/full/full/0/default.jpg
	122v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0129/full/full/0/default.jpg
	125r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0131/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0131/full/full/0/default.jpg
	125v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0132/full/full/0/default.jpg
	128r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0134/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0134/full/full/0/default.jpg
	129r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0135/full/full/0/default.jpg
	130v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0137/full/full/0/default.jpg
	133r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0139/full/full/0/default.jpg
	138r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0144/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0144/full/full/0/default.jpg
	154r	marginal miniature	church	building	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0160/full/full/0/default.jpg
			pillars	object	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0160/full/full/0/default.jpg
	164r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0170/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0170/full/full/0/default.jpg
			cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0170/full/full/0/default.jpg
	165r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0171/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0171/full/full/0/default.jpg
	166v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0173/full/full/0/default.jpg
	167r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0173/full/full/0/default.jpg
	168r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0174/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0174/full/full/0/default.jpg
	169r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0175/full/full/0/default.jpg
	170r	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0176/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0176/full/full/0/default.jpg
	171v	marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0178/full/full/0/default.jpg
			stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0178/full/full/0/default.jpg
	173r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0179/full/full/0/default.jpg
	175v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0182/full/full/0/default.jpg
	179v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0186/full/full/0/default.jpg
	181r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0187/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0187/full/full/0/default.jpg
	196r	headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0202/full/full/0/default.jpg
			geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0202/full/full/0/default.jpg
	198r	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0204/full/full/0/default.jpg
	202v	marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0209/full/full/0/default.jpg
